Disease,Detection,domHost,Vector,Transmission,patho,Transmission2
Bartonella,16S,Apodemus,arthro,vector,bact,indirect
Mycoplasma_haemo,16S,Rattus,louse,vector,bact,direct
Mycoplasma_coco,16S,Apodemus,louse,vector,bact,direct
IFA_POX,IFA,Myodes,envi,direct,virus,direct
Sarcocystidae,16S,Myodes,envi,envi,prot,indirect
Candidatus_Neoehrlichia,16S,Microtus,tick,vector,bact,indirect
Hanta,IFA,Myodes,envi,direct,virus,direct
Borrelia,16S,Apodemus,tick,vector,bact,indirect
Lepto,PCR,Rattus,envi,envi,bact,indirect
Anaplasma,16S,Myodes,tick,vector,bact,indirect
Francisella,16S,Apodemus,arthro,vector,bact,indirect
